date,text,likes,comments,shares,post_url,page_name
2025-08-09 15:11:26+00:00,"retail therapy  real therapy 

myzudio",8,0,0,https://www.facebook.com/reel/1918680072328720/,MyZudio
2025-08-09 06:30:23+00:00,"why watch others when you can wear it first 

myzudio",31,0,1,https://www.facebook.com/reel/24273550882296792/,MyZudio
2025-08-08 12:33:45+00:00,"brace yourselffomos about to hit 

myzudio",3,0,0,https://www.facebook.com/reel/1550113656359258/,MyZudio
2025-08-07 15:20:29+00:00,"affordable adorable check  check 

tc apply

myzudio",9,0,1,https://www.facebook.com/reel/1884433085463116/,MyZudio
2025-08-07 05:30:24+00:00,"this is not a drill  its 399 or less now 

tc apply

myzudio",42,2,1,https://www.facebook.com/reel/1252107906109928/,MyZudio
2025-08-06 08:43:08+00:00,"we said no more shoppingthen zudio dropped a sale 

tc apply

myzudio",2,1,0,https://www.facebook.com/reel/804373958933070/,MyZudio
2025-08-05 14:32:18+00:00,"the 10 reasons everyones in love this week 

tc apply

myzudio",30,1,0,https://www.facebook.com/reel/1418184956130798/,MyZudio
2025-08-05 08:30:01+00:00,"tried making plans everyones busy apparently 

tc apply

myzudio",3,0,0,https://www.facebook.com/reel/2015074848899181/,MyZudio
2025-08-03 11:32:11+00:00,"this is your sign get up go shop now

tc apply

myzudio",29,2,0,https://www.facebook.com/reel/1523095975521981/,MyZudio
2025-08-02 08:39:31+00:00,"pov you saw the prices and forgot how to blink 

tc apply

myzudio",36,1,1,https://www.facebook.com/reel/4224311004557659/,MyZudio
2025-08-01 09:28:50+00:00,"love starts at the door so does the sale

sale is live

tc apply

myzudio",27,0,0,https://www.facebook.com/reel/1305742501161233/,MyZudio
2025-07-31 15:38:54+00:00,"me not buying anything this month 
also me at the zudio sale 

tc apply

myzudio",40,0,0,https://www.facebook.com/reel/1456371362028366/,MyZudio
2025-07-31 03:30:49+00:00,"hands off my style 
sale is live
499 or less 
tc apply

myszudio",24,2,0,https://www.facebook.com/reel/760789443561633/,MyZudio
2025-07-30 14:34:16+00:00,"countdown begins zudio sale goes live tomorrow set a reminder

myzudio",14,0,1,https://www.facebook.com/reel/739050978850629/,MyZudio
2025-07-29 14:36:35+00:00,"all these hearts are dropping a secret are you ready to catch it 

myzudio",60,2,0,https://www.facebook.com/reel/1131320569045375/,MyZudio
2025-07-28 14:28:10+00:00,"follow the 

myzudio",10,0,0,https://www.facebook.com/reel/1974046746756682/,MyZudio
2025-07-19 08:19:41+00:00,"last day left to be the next face of zudio 
drop a  if you have already entered

tc apply

walktheaww 
myzudio",10,1,0,https://www.facebook.com/reel/934799858791944/,MyZudio
2025-07-18 15:03:36+00:00,"clocks ticking runways waiting you youve got 2 days and chance to walktheaww

tc apply

walktheaww 
zudiorunway 
myzudio",1,0,0,https://www.facebook.com/reel/1484407349398806/,MyZudio
2025-07-17 13:50:28+00:00,"last season we walked the runway this season were watching whos next  submit your walk walktheaww zudiorunway

tc apply

walktheaww 
myzudio",8,0,1,https://www.facebook.com/reel/2645264079017400/,MyZudio
2025-07-17 12:48:30+00:00,"last season we walked the runway this season were watching whos next  submit your walk walktheaww zudiorunway

tc apply

myzudio 
walktheaww",4,0,0,https://www.facebook.com/reel/3688637904606567/,MyZudio
2025-07-14 14:35:55+00:00,"turn the store into your stage or your skate park either wayeyes on you walktheaww

tc apply

walktheaww 
myzudio",49,2,2,https://www.facebook.com/reel/708378001991274/,MyZudio
2025-07-14 06:24:49+00:00,"face of zudio the spotlight could be yours walktheaww

tc apply

walktheaww 
myzudio",10,1,1,https://www.facebook.com/reel/3655894401385943/,MyZudio
2025-07-09 12:46:22+00:00,"drop an aww  in the comments to find out whats coming 

myzudio",6,0,0,https://www.facebook.com/reel/752482017309552/,MyZudio
2025-07-02 13:44:18+00:00,"if drip too hard were a group project 3 

myzudio",16,0,0,https://www.facebook.com/reel/1300115054816517/,MyZudio
2025-07-02 13:29:31+00:00,,6,1,0,https://www.facebook.com/reel/608633275604379/,MyZudio
2025-06-30 14:12:55+00:00,"no bad sides just vibes  

myzudio",7,0,0,https://www.facebook.com/reel/934343298798589/,MyZudio
2025-06-27 10:10:18+00:00,"tap on the circle to skip the fomo 
myzudio",14,1,0,https://www.facebook.com/reel/1432625207867178/,MyZudio
2025-06-27 09:20:49+00:00,,88,1,8,https://www.facebook.com/reel/768082928976968/,MyZudio
2025-06-26 13:39:48+00:00,"your closet just texted it needs this 
myzudio",59,0,1,https://www.facebook.com/reel/2599963757014044/,MyZudio
2025-06-24 12:05:37+00:00,"steps in sync 
myzudio",11,0,0,https://www.facebook.com/reel/946566514204619/,MyZudio
2025-06-20 11:33:36+00:00,"rainproof kicks just in 
myzudio",29,0,2,https://www.facebook.com/reel/2115230422317743/,MyZudio
2025-06-18 11:32:06+00:00,"which alter ego are you picking today
myzudio",7,0,0,https://www.facebook.com/reel/726258963193783/,MyZudio
2025-06-17 15:00:42+00:00,"accessorize like its self care
myzudio",6,0,0,https://www.facebook.com/reel/1493475818303103/,MyZudio
2025-06-16 14:17:46+00:00,"dripping in citrus and sass
myzudio",8,1,0,https://www.facebook.com/reel/1382760999443148/,MyZudio
2025-06-15 11:27:33+00:00,"caught a vibe and dressed for it 
myzudio",3,0,0,https://www.facebook.com/reel/2178892929286813/,MyZudio
2025-06-13 15:01:48+00:00,"this fridays forecast fruity with a chance of florals 
myzudio",1,0,0,https://www.facebook.com/reel/1216511736415186/,MyZudio
2025-06-13 13:14:31+00:00,"how many are you gonna grab 
myzudio",52,1,3,https://www.facebook.com/reel/4090325571286482/,MyZudio
2025-06-08 14:33:48+00:00,"if these tees could talk theyd be yappers fs 

myzudio",1,0,0,https://www.facebook.com/MyZudio/posts/pfbid02cn4KqjWuk6frv8K3zF4QCKiy8irSd2t9tizHm1gg4R8Em65qutdEopsCmra4NuqWl,MyZudio
2025-06-07 11:30:13+00:00,"us in our denim era

myzudio",12,1,0,https://www.facebook.com/reel/2095409737637269/,MyZudio
2025-06-03 12:30:13+00:00,"look closely to find your next fav  

myzudio",9,0,0,https://www.facebook.com/reel/1909516616443157/,MyZudio
2025-05-30 13:35:16+00:00,"friday mood dripped in denim 

myzudio",2,0,0,https://www.facebook.com/reel/638192075936392/,MyZudio
2025-05-29 14:18:33+00:00,"one drop too many moods

myzudio",2,1,0,https://www.facebook.com/reel/726960083101327/,MyZudio
2025-05-29 13:26:58+00:00,"one drop too many moods

myzudio",3,0,0,https://www.facebook.com/reel/549485108032834/,MyZudio
2025-05-22 14:21:44+00:00,"lowkey intro highkey vibe
micahs here 

myzudio",4,0,0,https://www.facebook.com/reel/2510416085962747/,MyZudio
2025-05-06 14:30:10+00:00,"the zummer runway vol 2  ft hiral  akshay

myzudio zummer thezummerrunway",14,0,0,https://www.facebook.com/reel/1028247868803423/,MyZudio
2025-05-06 12:30:03+00:00,"we saw this top on the zummer runway and said mine now 

myzudio zummer thezummerrunway",13,0,1,https://www.facebook.com/reel/1202845534552520/,MyZudio
2025-05-06 05:30:11+00:00,"the zummer runway vol 2  ft musiq

myzudio zummer thezummerrunway",9,0,0,https://www.facebook.com/reel/1329854094753356/,MyZudio
2025-05-05 13:30:26+00:00,"the zummer runway vol 2  ft pratik

myzudio zummer thezummerrunway",4,1,0,https://www.facebook.com/reel/622626124147777/,MyZudio
2025-05-05 11:30:20+00:00,"the zummer runway vol 2  ft monishaa  anushka

myzudio zummer thezummerrunway",4,1,0,https://www.facebook.com/reel/722698670182113/,MyZudio
2025-05-04 13:30:13+00:00,"pov the cctv caught us serving zummer 

myzudio zummer thezummerrunway",4,0,0,https://www.facebook.com/reel/1408500076827684/,MyZudio
2025-05-04 08:30:12+00:00,"the zummer runway vol 2  ft tejas

myzudio zummer thezummerrunway",5,1,0,https://www.facebook.com/reel/1413319329753912/,MyZudio
2025-05-03 13:30:14+00:00,"the zummer runway vol 2  ft tanishaa

myzudio zummer thezummerrunway",6,0,0,https://www.facebook.com/reel/1188580326386446/,MyZudio
2025-05-03 08:30:11+00:00,"the zummer runway vol 2  ft rahul

myzudio zummer thezummerrunway",1,0,0,https://www.facebook.com/reel/1611690782806232/,MyZudio
2025-05-02 11:32:06+00:00,"the zummer runway  vol 2

myzudio zummer thezummerrunway",5,0,0,https://www.facebook.com/reel/1658248444825003/,MyZudio
2025-05-01 08:27:19+00:00,"ready to hit play on vol2 of the zummer runway 

myzudio zummer thezummerrunway",7,2,0,https://www.facebook.com/reel/577497345380543/,MyZudio
2025-04-26 13:20:51+00:00,"tried the zummer fits now were in our runway era  

myzudio zummer thezummerrunway",10,1,0,https://www.facebook.com/reel/1372452447370497/,MyZudio
2025-04-24 15:09:54+00:00,"these runway fits just hit different irl 

myzudio zummer thezummerrunway",2,1,0,https://www.facebook.com/reel/9949915531791959/,MyZudio
2025-04-24 14:46:34+00:00,"these runway fits just hit different irl 

myzudio zummer thezummerrunway",3,1,0,https://www.facebook.com/reel/1102402284956873/,MyZudio
2025-04-22 15:04:34+00:00,"the zummer runway  ft crisann

myzudio zummer thezummerrunway",11,1,0,https://www.facebook.com/reel/1416310532696012/,MyZudio
2025-04-22 11:30:09+00:00,"the zummer runway  ft robik

myzudio zummer thezummerrunway",2,1,0,https://www.facebook.com/reel/1098600778767456/,MyZudio
2025-04-22 08:30:11+00:00,"the zummer runway  ft prerna

myzudio zummer thezummerrunway",2,1,0,https://www.facebook.com/reel/1035738375369614/,MyZudio
2025-04-20 12:00:15+00:00,"the zummer runway  ft aditya

myzudio zummer thezummerrunway",5,2,0,https://www.facebook.com/reel/1184500609998624/,MyZudio
2025-04-20 09:38:45+00:00,"warning mirror may reflect  too much drip

myzudio zummer thezummerrunway",3,1,0,https://www.facebook.com/reel/692457923162319/,MyZudio
2025-04-19 14:00:14+00:00,"the zummer runway  ft abhiket

myzudio zummer thezummerrunway",5,1,0,https://www.facebook.com/reel/1483712105748463/,MyZudio
2025-04-19 11:00:15+00:00,"the zummer runway  ft amanjyot

myzudio zummer thezummerrunway",5,1,0,https://www.facebook.com/reel/1203690521333218/,MyZudio
2025-04-19 06:35:43+00:00,"the zummer runway  ft shonaa

myzudio zummer thezummerrunway",3,1,0,https://www.facebook.com/reel/1180768020412544/,MyZudio
2025-04-18 15:43:34+00:00,"the zummer runway  vol 01

myzudio zummer thezummerrunway",6,1,0,https://www.facebook.com/reel/1229606148728590/,MyZudio
2025-04-18 08:59:25+00:00,"the backstage is buzzing and the runways loading 

myzudio zummer thezummerrunway",5,1,0,https://www.facebook.com/reel/650696974258819/,MyZudio
2025-04-17 11:29:51+00:00,"not just a show its a cultural reset 

myzudio zummer thezummerrunway",5,1,0,https://www.facebook.com/reel/577391178103331/,MyZudio
2025-04-11 14:09:41+00:00,"serving twinergy with a side of zummer fits 

myzudio zummer",7,1,0,https://www.facebook.com/reel/1418526942843838/,MyZudio
2025-04-08 13:56:18+00:00,"just two cuties chasing sunsets and serving zummer lewks 

myzudio zummer",2,2,0,https://www.facebook.com/reel/1407675163725837/,MyZudio
2025-04-08 13:54:14+00:00,"just two cuties chasing sunsets and serving zummer lewks 

myzudio zummer",3,1,1,https://www.facebook.com/reel/1885281228974282/,MyZudio
2025-04-07 15:14:41+00:00,"zummer fits got me dancing through life 

myzudio zummer",5,1,1,https://www.facebook.com/reel/513968308448434/,MyZudio
2025-04-07 15:06:50+00:00,"zummer fits got me dancing through life 

myzudio zummer",5,1,0,https://www.facebook.com/reel/1202303464701811/,MyZudio
2025-04-06 12:00:14+00:00,"manifesting a life where every transition  a new zummer fit

myzudio zummer",23,1,0,https://www.facebook.com/reel/1031865945669486/,MyZudio
2025-04-04 12:05:17+00:00,"fomo friday just entered its zummer era 

myzudio zummer",1,1,0,https://www.facebook.com/reel/1548897859112777/,MyZudio
2025-04-03 12:22:14+00:00,"if you miss this fridays drop the fomo will live rentfree in your head 

myzudio zummer",6,1,0,https://www.facebook.com/reel/1118738046689325/,MyZudio
2025-03-31 06:42:34+00:00,"weve been vibing to myzudio zummer anthem like its our fulltime job 

myzudio zummer",11,1,0,https://www.facebook.com/reel/523841384106823/,MyZudio
2025-03-29 13:26:09+00:00,"serving zummer energy on max volume 

myzudio zummer",3,4,0,https://www.facebook.com/reel/1182948816749912/,MyZudio
2025-03-28 12:43:53+00:00,"zummer rule 101 if the anthem plays you dance 

myzudio zummer",5,1,0,https://www.facebook.com/reel/1212795890457960/,MyZudio
2025-03-28 05:58:34+00:00,"dress to glow born to zummer

myzudio zummer",5,0,0,https://www.facebook.com/reel/480471665030344/,MyZudio
2025-03-24 12:08:56+00:00,"the beats the chaos the vibes  sneak peek of the madness that made zummer 

myzudio zummer",4,1,0,https://www.facebook.com/reel/1372275697111674/,MyZudio
2025-03-23 11:33:34+00:00,"the zummer anthem is here now make it your own  

use this template show us how youre zummerin and tag myzudio to get featured 

myzudio zummer",5,2,1,https://www.facebook.com/reel/1850245402393824/,MyZudio
2025-03-22 17:41:02+00:00,,9,1,0,https://www.facebook.com/reel/506416235855223/,MyZudio
2025-03-22 13:49:30+00:00,"zummer is the upgrade you didnt know you needed 

myzudio zummer",1,1,0,https://www.facebook.com/reel/654916073943042/,MyZudio
2025-03-22 13:30:20+00:00,"zummer is the upgrade you didnt know you needed 

myzudio zummer",1,1,0,https://www.facebook.com/reel/614157534933388/,MyZudio
2025-03-21 13:30:08+00:00,"say yes to zummer 

myzudio zummer",2,2,1,https://www.facebook.com/reel/1015061917175789/,MyZudio
2025-03-20 13:00:10+00:00,"read the signs decode the vibe zummer is closer than you think 

myzudio zummer",3,1,0,https://www.facebook.com/reel/24053698630896993/,MyZudio
2025-03-19 13:00:27+00:00,"you heard that things are about to change 

myzudio zummer",5,1,0,https://www.facebook.com/reel/1296236258309103/,MyZudio
2025-03-19 12:29:20+00:00,,4,1,0,https://www.facebook.com/reel/1149626566489395/,MyZudio
2025-03-18 15:10:56+00:00,,1,1,0,https://www.facebook.com/reel/9583226791698149/,MyZudio
2025-03-18 14:43:51+00:00,"summer just got replaced 

myzudio",1,1,0,https://www.facebook.com/reel/676867798242872/,MyZudio
2025-03-17 13:50:51+00:00,"z is coming but what does it stand for guess in the comments 

myzudio",5,1,0,https://www.facebook.com/reel/1001084751434696/,MyZudio
2025-03-15 13:31:09+00:00,"summer got left on read  
stay tuned to know why 

myzudio",2,1,0,https://www.facebook.com/MyZudio/posts/pfbid031jz5xhuMydeGgTmFNDhpgPKuqfj62zygGunPXduzoneutr77h86Ygir5VPXcTgZDl,MyZudio
2025-03-12 15:12:19+00:00,"dont blink or youll miss the drip 

myzudio",14,2,0,https://www.facebook.com/reel/1355705118788761/,MyZudio
2025-03-11 14:20:50+00:00,"a slideshow thats serving major sporty energy 

myzudio",7,0,0,https://www.facebook.com/reel/416640964867504/,MyZudio
2025-03-11 08:30:10+00:00,"tank tops that do the most so you dont have to 

myzudio",1,0,0,https://www.facebook.com/reel/2459828227703489/,MyZudio
2025-03-11 08:07:31+00:00,"tank tops that do the most so you dont have to 

myzudio",3,0,0,https://www.facebook.com/reel/666107585872345/,MyZudio
2025-03-10 10:09:15+00:00,"fit check sporty cute and ready to roll 

myzudio",4,1,0,https://www.facebook.com/reel/1150731146529993/,MyZudio
2025-03-10 10:06:10+00:00,"fit check sporty cute and ready to roll 

myzudio",2,0,0,https://www.facebook.com/reel/1884213229049842/,MyZudio
2025-03-10 08:30:15+00:00,"tank tops that do the most so you dont have to 

myzudio",0,0,0,https://www.facebook.com/reel/1328310695042415/,MyZudio
2025-03-10 08:02:58+00:00,"tank tops that do the most so you dont have to 

myzudio",0,0,0,https://www.facebook.com/reel/1657451395161120/,MyZudio
2025-03-09 09:56:12+00:00,"this duo unbeatable sporty meets street and were obsessed 

myzudio",1,0,0,https://www.facebook.com/reel/2126519194464811/,MyZudio
2025-03-09 09:21:11+00:00,"this duo unbeatable sporty meets street and were obsessed 

myzudio",3,0,0,https://www.facebook.com/reel/1017727867076513/,MyZudio
2025-03-08 12:45:09+00:00,"from jorts to carpenter jeans every fits a w with boxy shirts

myzudio",3,0,0,https://www.facebook.com/reel/1696838774585209/,MyZudio
2025-03-08 12:19:29+00:00,"from jorts to carpenter jeans every fits a w with boxy shirts

myzudio",14,0,0,https://www.facebook.com/reel/987725879986032/,MyZudio
2025-03-08 05:35:14+00:00,"score these looks before theyre gone which ones a 1010 

myzudio",1,0,0,https://www.facebook.com/MyZudio/posts/pfbid02FaF5Wj5wDF4NjGmpeZ3dN6kJz8BqhPFJTSvaGDKqX9imHWqGz51V97cZWKMP4xfvl,MyZudio
2025-03-07 13:32:22+00:00,,3,0,0,https://www.facebook.com/MyZudio/posts/pfbid0tPQnm5AjMqKRsGhFQb47Nm3KSBYhe3QAk52p4jbV7uSnJCRAt68XU1cpR95zFpXxl,MyZudio
2025-03-07 13:12:03+00:00,"sporty meets denim this fomo friday and its a total match 

myzudio",4,0,0,https://www.facebook.com/reel/2063232694177050/,MyZudio
2025-03-06 13:34:30+00:00,"serving goals in denim 

myzudio",2,0,0,https://www.facebook.com/reel/954074086846040/,MyZudio
2025-03-06 12:29:20+00:00,"serving goals in denim 

myzudio",1,0,0,https://www.facebook.com/reel/1356863392111882/,MyZudio
2025-03-04 14:30:36+00:00,"level up your drip in zudio style 

myzudio",11,1,0,https://www.facebook.com/reel/992926899050331/,MyZudio
2025-03-04 14:27:01+00:00,"level up your drip in zudio style 

myzudio",9,1,0,https://www.facebook.com/reel/2083101165459630/,MyZudio
2025-03-03 13:58:37+00:00,"grab the trends in stores now or feel the fomo later youve been warned 

myzudio",5,1,0,https://www.facebook.com/MyZudio/posts/pfbid02dDiroMswun12myykWJ2tRLLeMNBXJSA5VVXs44v6dyXp5NXdQ5kRFmBRkp71i4CDl,MyZudio
2025-02-28 13:07:22+00:00,"bow down to the cutest trend ever 

myzudio",5,1,0,https://www.facebook.com/reel/1292161462007001/,MyZudio
2025-02-25 06:31:10+00:00,"from the vibes to the fashionzudio at iim
bangalore was a whole experience had the best time capturing it all 

myzudio",22,1,1,https://www.facebook.com/reel/961324446129137/,MyZudio
2025-02-22 09:00:45+00:00,"im at unmaadiimb and everywhere i turn zudios got something cooler 

myzudio",55,1,2,https://www.facebook.com/reel/1172198257116508/,MyZudio
2025-02-21 10:13:08+00:00,"mic check vibe check 
unmaad is about to hit different 

myzudio",48,2,0,https://www.facebook.com/reel/512181761515595/,MyZudio
2025-02-16 13:31:10+00:00,"real friends share playlists best friends share giveaways  

step 1 follow myzudio 
step 2 tag a bestie whos pulling up with you 
step 3 keep an eye on our stories for more 

valid for bangalore peeps
tc apply

myzudio",4,0,0,https://www.facebook.com/reel/1009122657727525/,MyZudio
2025-02-15 13:30:09+00:00,"bangalore clear your schedule zudios taking over unmaad

myzudio",5,0,0,https://www.facebook.com/reel/892931232778912/,MyZudio
2025-02-12 13:38:01+00:00,"brb never wearing my tees the same way again 

myzudio",5,2,0,https://www.facebook.com/reel/1133895207992882/,MyZudio
2025-02-12 13:26:35+00:00,"brb never wearing my tees the same way again 

myzudio",6,1,0,https://www.facebook.com/reel/1061061176036145/,MyZudio
2025-02-11 13:37:06+00:00,"pov you just found the tee 

drop a  if you agree

myzudio",7,0,0,https://www.facebook.com/MyZudio/posts/pfbid0yesWTwAN1WN7HtETchuqp6xYoSYo1QBCpHSaGATY5W1dNh7YnYeR1VKEtCGvwxtel,MyZudio
2025-02-10 14:24:06+00:00,"photo dump 101 take notes 

myzudio",5,0,0,https://www.facebook.com/reel/577333508635524/,MyZudio
2025-02-10 14:23:06+00:00,"photo dump 101 take notes 

myzudio",4,1,0,https://www.facebook.com/reel/969009854746668/,MyZudio
2025-02-10 11:42:45+00:00,"running late because one fit is never enough 

myzudio",3,1,0,https://www.facebook.com/reel/1614040572549842/,MyZudio
2025-02-10 11:41:28+00:00,"running late because one fit is never enough 

myzudio",4,0,0,https://www.facebook.com/reel/491122637109042/,MyZudio
2025-02-09 13:52:31+00:00,"trend alert everyones walking in style 

myzudio",10,1,0,https://www.facebook.com/reel/672947888492463/,MyZudio
2025-02-09 13:51:55+00:00,"trend alert everyones walking in style 

myzudio",5,0,0,https://www.facebook.com/reel/2095005207643245/,MyZudio
2025-02-09 05:58:48+00:00,"did a trend check and denim is having its moment 
dont miss it 

myzudio",21,1,0,https://www.facebook.com/reel/593345023584503/,MyZudio
2025-02-09 05:53:57+00:00,"did a trend check and denim is having its moment 
dont miss it 

myzudio",7,1,0,https://www.facebook.com/reel/651597187315182/,MyZudio
2025-02-07 10:36:29+00:00,"this friday  denim coded 

myzudio",3,1,0,https://www.facebook.com/reel/611544471696487/,MyZudio
2025-02-06 13:38:47+00:00,"fridays can only mean one thing  
tell us in the comments

myzudio",3,1,0,https://www.facebook.com/reel/829719955954823/,MyZudio
2025-02-03 13:30:18+00:00,"sliders that match every fit which one are you vibing with

myzudio",6,2,0,https://www.facebook.com/reel/4453846291508659/,MyZudio
2025-02-03 13:11:01+00:00,"sliders that match every fit which one are you vibing with 

myzudio",13,1,0,https://www.facebook.com/reel/2950413918461827/,MyZudio
2025-02-02 13:43:03+00:00,"trend alert your footwear games about to level up 

myzudio",8,1,0,https://www.facebook.com/reel/1177165463744681/,MyZudio
2025-02-01 13:35:08+00:00,"these sliders are all over the internet and soon your closet 

myzudio",5,0,0,https://www.facebook.com/reel/1558806264817662/,MyZudio
2025-02-01 12:37:48+00:00,"these sliders are all over the internet and soon your closet 

myzudio",7,0,0,https://www.facebook.com/reel/1327721365207640/,MyZudio
2025-01-31 13:40:10+00:00,"spotted your next style obsession 

myzudio",11,1,0,https://www.facebook.com/reel/4096897220539234/,MyZudio
